Date,,"Moon Phase
(Lunar Phase)",,Moon Sign,,Organs,Horoscope,,
Wed,"Jan 13, 2021
at 05:00",,New Moon,Capricorn,23°13’,"Backbone, joints, knees, skin, hair","new moon
chart",,DEVIL
Thu,"Jan 28, 2021
at 19:16",,Full Moon,Leo,9°05’,"Heart, aorta, blood pressure, blood circulation","full moon
chart",,STRENGTH
Thu,"Feb 11, 2021
at 19:05",,New Moon,Aquarius,23°16’,"Calf, ankle, shin, Achilles","new moon
chart",,STAR
Sat,"Feb 27, 2021
at 08:17",,Full Moon,Virgo,8°57’,"Pancreas, small intestine, digestive tract","full moon
chart",,HERMIT
Sat,"Mar 13, 2021
at 10:21",,New Moon,Pisces,23°03’,"Feet, toes, pineal gland","new moon
chart",,MOON
Sun,"Mar 28, 2021
at 18:48",,Full Moon,Libra,8°18’,"Kidney, ureter, urinary bladder, veins, skin","full moon
chart",,JUSTICE
Mon,"Apr 12, 2021
at 02:30",,New Moon,Aries,22°24’,"Head, teeth, tongue, arteries","new moon
chart",,EMPEROR
Tue,"Apr 27, 2021
at 03:31",,Full Moon (S),Scorpio,7°05’,"Genitals, anus, urethra, prostate","full moon
chart",,DEATH
Tue,"May 11, 2021
at 18:59",,New Moon,Taurus,21°17’,"Neck, vocal cords, throat, thyroid gland","new moon
chart",,HIEROPHANT
Wed,"May 26, 2021
at 11:13",,Full Moon (S),Sagittarius,5°25’,"Liver, hips, thighs, sacrum","full moon
chart",,TEMPERANCE
Wed,"May 26, 2021
at 11:19",,"Lunar Eclipse
Total (S)",Sagittarius,5°29’,"Liver, hips, thighs, sacrum","eclipse
chart",,TEMPERANCE
Thu,"Jun 10, 2021
at 10:43",,"Solar Eclipse
Annular",Gemini,19°42’,"Shoulders, arms, hands, bronchial tubes, lungs","eclipse
chart",,LOVERS
Thu,"Jun 10, 2021
at 10:52",,New Moon,Gemini,19°46’,"Shoulders, arms, hands, bronchial tubes, lungs","new moon
chart",,LOVERS
Thu,"Jun 24, 2021
at 18:39",,Full Moon,Capricorn,3°27’,"Backbone, joints, knees, skin, hair","full moon
chart",,DEVIL
Sat,"Jul 10, 2021
at 01:16",,New Moon,Cancer,18°01’,"Stomach, mucosa, breast, womb, ovary","new moon
chart",,CHARIOT
Sat,"Jul 24, 2021
at 02:36",,Full Moon,Aquarius,1°25’,"Calf, ankle, shin, Achilles","full moon
chart",,STAR
Sun,"Aug 8, 2021
at 13:49",,New Moon,Leo,16°13’,"Heart, aorta, blood pressure, blood circulation","new moon
chart",,STRENGTH
Sun,"Aug 22, 2021
at 12:01",,Full Moon,Aquarius,29°36’,"Calf, ankle, shin, Achilles","full moon
chart",,STAR
Tue,"Sep 7, 2021
at 00:51",,New Moon,Virgo,14°37’,"Pancreas, small intestine, digestive tract","new moon
chart",,HERMIT
Mon,"Sep 20, 2021
at 23:54",,Full Moon,Pisces,28°13’,"Feet, toes, pineal gland","full moon
chart",,MOON
Wed,"Oct 6, 2021
at 11:05",,New Moon,Libra,13°24’,"Kidney, ureter, urinary bladder, veins, skin","new moon
chart",,JUSTICE
Wed,"Oct 20, 2021
at 14:56",,Full Moon,Aries,27°25’,"Head, teeth, tongue, arteries","full moon
chart",,EMPEROR
Thu,"Nov 4, 2021
at 21:14",,New Moon (S),Scorpio,12°39’,"Genitals, anus, urethra, prostate","new moon
chart",,DEATH
Fri,"Nov 19, 2021
at 08:57",,Full Moon,Taurus,27°14’,"Neck, vocal cords, throat, thyroid gland","full moon
chart",,HIEROPHANT
Fri,"Nov 19, 2021
at 09:04",,"Lunar Eclipse
Partial",Taurus,27°17’,"Neck, vocal cords, throat, thyroid gland","eclipse
chart",,HIEROPHANT
Sat,"Dec 4, 2021
at 07:34",,"Solar Eclipse
Total (S)",Sagittarius,12°16’,"Liver, hips, thighs, sacrum","eclipse
chart",,TEMPERANCE
Sat,"Dec 4, 2021
at 07:42",,New Moon (S),Sagittarius,12°21’,"Liver, hips, thighs, sacrum","new moon
chart",,TEMPERANCE
Sun,"Dec 19, 2021
at 04:35",,Full Moon,Gemini,27°28’,"Shoulders, arms, hands, bronchial tubes, lungs","full moon
chart",,LOVERS
